gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
5.0,844,51,0,0,1,1,930220.0,872448.0,0.0,930.22,0.872448
5.0,1252,37,4,0,1,1,898056.0,593920.0,0.0,898.056,0.59392
5.0,1691,40,6,1,0,1,760630.0,481280.0,0.0,760.63,0.48128
5.0,125,32,3,1,0,2,778393.0,522240.0,0.0,778.393,0.52224
5.0,1982,21,4,0,2,1,910447.0,937984.0,0.0,910.447,0.937984
5.0,812,52,0,1,1,1,874218.0,593920.0,0.0,874.218,0.59392
5.0,1535,40,6,1,0,1,881236.0,626688.0,0.0,881.236,0.626688
5.0,919,9,2,2,2,1,710440.0,501760.0,0.0,710.44,0.50176
5.0,3936,48,4,2,2,0,748225.0,536576.0,0.0,748.225,0.536576
5.0,1721,39,0,1,1,1,872861.0,602112.0,0.0,872.861,0.602112
5.0,3902,88,0,1,2,2,873124.0,610304.0,0.0,873.124,0.610304
5.0,2538,54,0,1,2,0,862827.0,593920.0,0.0,862.827,0.59392
5.0,3884,93,0,2,2,1,876662.0,700416.0,0.0,876.662,0.700416
5.0,2550,37,3,0,1,1,706771.0,518144.0,0.0,706.771,0.518144
5.0,241,42,6,1,2,2,716042.0,536576.0,0.0,716.042,0.536576
5.0,2556,31,0,2,0,1,869830.0,602112.0,0.0,869.83,0.602112
5.0,3884,123,0,1,2,1,860159.0,593920.0,0.0,860.159,0.59392
5.0,1215,38,0,0,0,0,873524.0,700416.0,0.0,873.524,0.700416
5.0,1250,2,6,2,0,0,645206.0,544768.0,0.0,645.206,0.544768
5.0,4,18,0,0,0,0,857576.0,593920.0,0.0,857.576,0.59392
5.0,2569,34,0,0,0,1,871664.0,962560.0,0.0,871.664,0.96256
6.0,2859,46,6,2,0,1,947126.0,493568.0,1.0,947.126,0.493568
6.0,844,51,0,0,1,1,1011256.0,509952.0,1.0,1011.256,0.509952
6.0,1691,39,0,2,0,1,1058465.0,514048.0,1.0,1058.465,0.514048
6.0,831,51,0,0,0,0,870846.0,456704.0,1.0,870.846,0.456704
6.0,844,78,1,2,0,1,892898.0,544768.0,0.0,892.898,0.544768
6.0,2557,78,0,1,0,0,1050521.0,561152.0,0.0,1050.521,0.561152
6.0,3890,26,0,1,2,1,866839.0,468992.0,0.0,866.839,0.468992
6.0,2024,78,0,2,0,1,865044.0,460800.0,0.0,865.044,0.4608
6.0,2560,78,0,0,0,1,1047946.0,561152.0,0.0,1047.946,0.561152
6.0,1691,39,0,1,0,1,864965.0,481280.0,0.0,864.965,0.48128
6.0,2592,93,0,2,2,1,859097.0,460800.0,0.0,859.097,0.4608
6.0,844,51,0,0,1,1,1042963.0,569344.0,0.0,1042.963,0.569344
6.0,2569,21,0,0,0,1,1036225.0,561152.0,0.0,1036.225,0.561152
6.0,844,51,0,0,1,1,1046997.0,634880.0,0.0,1046.997,0.63488
6.0,3902,88,0,1,2,2,855685.0,477184.0,0.0,855.685,0.477184
6.0,1251,78,0,0,0,1,850781.0,460800.0,0.0,850.781,0.4608
6.0,3183,24,0,0,2,1,1023577.0,561152.0,0.0,1023.577,0.561152
6.0,3884,79,0,2,2,1,1037957.0,692224.0,0.0,1037.957,0.692224
